Reporting Month,School Name,School Code,District,Block,PBL Conducted,Evidence Submitted,Classes,Subject,Enrollment Class 6,Attendance Class 6 Science,Attendance Class 6 Math,Enrollment Class 7,Attendance Class 7 Science,Attendance Class 7 Math,Enrollment Class 8,Attendance Class 8 Science,Attendance Class 8 Math,Total Enrollment,Total Attendance,Attendance Rate,Risk Status
August 2025,Govt Primary School Alanpur,SCH001,District A,Block 001,Yes,Yes,6-8,Science & Math,45,40,38,42,37,36,40,34,32,127,217,0.86,On Track
August 2025,Govt Middle School Barakpur,SCH002,District A,Block 001,Yes,Yes,6-8,Science & Math,50,44,42,48,42,40,44,38,36,142,242,0.85,On Track
August 2025,Govt Primary School Chandpur,SCH003,District A,Block 001,Yes,Yes,6-8,Science & Math,38,32,30,35,28,27,32,24,22,105,163,0.78,On Track
August 2025,Govt High School Devipur,SCH004,District A,Block 002,Yes,Yes,6-8,Science & Math,55,50,48,52,46,44,50,44,42,157,274,0.87,On Track
August 2025,Govt Primary School Ekalavya,SCH005,District A,Block 002,Yes,No,6-8,Science & Math,42,28,26,38,24,22,35,18,16,115,134,0.58,At Risk
August 2025,Govt Middle School Fatehpur,SCH006,District A,Block 002,Yes,Yes,6-8,Science & Math,48,42,40,44,38,37,42,36,34,134,227,0.85,On Track
August 2025,Govt Primary School Ganeshpur,SCH007,District A,Block 003,Yes,Yes,6-8,Science & Math,40,34,32,36,30,28,34,26,24,110,174,0.79,On Track
August 2025,Govt High School Hanuman Nagar,SCH008,District A,Block 003,Yes,No,6-8,Science & Math,52,24,22,48,18,16,44,14,12,144,106,0.37,At Risk
August 2025,Govt Primary School Indrapur,SCH009,District A,Block 003,Yes,Yes,6-8,Science & Math,46,40,38,42,36,34,40,34,32,128,214,0.84,On Track
August 2025,Govt Middle School Jagdishpur,SCH010,District A,Block 003,Yes,Yes,6-8,Science & Math,44,38,37,40,35,33,38,32,30,122,205,0.84,On Track
August 2025,Govt Primary School Kailashpur,SCH011,District B,Block 001,Yes,Yes,6-8,Science & Math,50,44,42,46,40,38,44,38,36,140,238,0.85,On Track
August 2025,Govt High School Lakshmipur,SCH012,District B,Block 001,Yes,No,6-8,Science & Math,55,28,26,50,22,20,48,18,16,153,130,0.43,At Risk
August 2025,Govt Primary School Madhavpur,SCH013,District B,Block 001,Yes,Yes,6-8,Science & Math,42,38,36,38,32,30,36,30,28,116,194,0.84,On Track
August 2025,Govt Middle School Narsinghpur,SCH014,District B,Block 002,Yes,Yes,6-8,Science & Math,48,40,38,44,34,32,40,30,28,132,202,0.77,On Track
August 2025,Govt Primary School Omkareshwar,SCH015,District B,Block 002,Yes,Yes,6-8,Science & Math,44,40,38,40,36,34,38,32,30,122,210,0.86,On Track
August 2025,Govt High School Pratappur,SCH016,District B,Block 002,Yes,No,6-8,Science & Math,58,26,24,54,20,18,50,16,14,162,118,0.37,At Risk
August 2025,Govt Primary School Rampur,SCH017,District B,Block 003,Yes,Yes,6-8,Science & Math,46,40,39,42,37,35,40,34,32,128,217,0.85,On Track
August 2025,Govt Middle School Shivpur,SCH018,District B,Block 003,Yes,Yes,6-8,Science & Math,50,42,40,46,36,34,42,32,30,138,214,0.78,On Track
August 2025,Govt Primary School Triveni,SCH019,District B,Block 003,Yes,No,6-8,Science & Math,40,22,20,36,16,14,34,12,10,110,94,0.43,At Risk
